sentence_id,sentence,entity1,entity1_start,entity1_end,entity1_type,entity2,entity2_start,entity2_end,entity2_type,relation_type
1,"The Authority ensures ships comply with MARPOL procedures",Authority,4,12,AUTHORITIES,MARPOL procedures,34,49,PROCEDURES,REGULATES
2,"Port Authority must provide adequate waste facilities",Port Authority,0,12,AUTHORITIES,waste facilities,30,44,PROCEDURES,IMPLEMENT
3,"Masters must deliver ship-generated waste to facilities",Masters,0,6,SUBJECT REGULATED,ship-generated waste,18,35,POLLUTANT,RESTRICT
4,"Authorized Officers inspect ships for compliance",Authorized Officers,0,17,AUTHORITIES,ships,31,36,SYSTEM,MONITORS
5,"Waste management plans require Authority approval",waste management plans,0,20,DOCUMENTS,Authority,31,39,AUTHORITIES,REQUIRED
6,"Zanzibar Maritime Authority appoints inspectors",Zanzibar Maritime Authority,0,23,AUTHORITIES,inspectors,32,41,AUTHORITIES,HAVE
7,"Ships must notify arrival 24 hours prior",ships,0,5,SYSTEM,arrival notification,18,35,PROCEDURES,FOLLOW
8,"Port operators submit annual waste reports",Port operators,0,12,SUBJECT REGULATED,waste reports,26,37,DOCUMENTS,GENERATES
9,"Bilge water must be processed properly",Bilge water,0,9,POLLUTANT,processing procedures,25,42,PROCEDURES,APPLY_TO
10,"MARPOL 73/78 regulates toxic substance disposal",MARPOL 73/78,0,11,DOCUMENTS,toxic substance disposal,23,41,DISPOSAL,REGULATES
11,"Authority detains non-compliant vessels",Authority,0,9,AUTHORITIES,non-compliant vessels,22,38,SYSTEM,MANAGES
12,"Cargo residues require special handling",Cargo residues,0,13,POLLUTANT,special handling,26,39,PROCEDURES,REQUIRED
13,"Fishing vessels have waste exemptions",Fishing vessels,0,13,SYSTEM,waste exemptions,23,36,PROCEDURES,APPLY_TO
14,"Sewage discharge violates environmental standards",Sewage discharge,0,14,POLLUTANT,environmental standards,28,46,DOCUMENTS,COMPLY_WITH
15,"Terminal operators collect waste fees",Terminal operators,0,15,SUBJECT REGULATED,waste fees,27,36,PENALTIES,IMPLEMENT
16,"Annual reports track waste quantities",Annual reports,0,12,DOCUMENTS,waste quantities,22,35,POLLUTANT,MONITORS
17,"Environmental assessments precede facility construction",Environmental assessments,0,20,DOCUMENTS,facility construction,31,49,PROCEDURES,REQUIRED
18,"Toxic liquid waste needs special storage",Toxic liquid waste,0,16,POLLUTANT,special storage,26,39,PROCEDURES,REQUIRED
19,"Port reception facilities handle multiple waste types",Port reception facilities,0,21,PROCEDURES,waste types,35,45,POLLUTANT,INVOLVE_IN
20,"Ships with exemptions still follow basic protocols",Ships,0,5,SYSTEM,basic protocols,32,46,PROCEDURES,COMPLY_WITH
21,"Authority prepares waste management plans",Authority,0,9,AUTHORITIES,waste management plans,20,37,DOCUMENTS,REQUIRED
22,"Port operators allocate land for facilities",Port operators,0,12,SUBJECT REGULATED,land allocation,26,38,PROCEDURES,IMPLEMENT
23,"Environmental Management Authority issues permits",Environmental Management Authority,0,28,AUTHORITIES,permits,39,45,DOCUMENTS,GENERATES
24,"Slop tanks contain oily residues",Slop tanks,0,9,EQUIPMENT,oily residues,22,32,POLLUTANT,HAVE
25,"Garbage disposal falls under MARPOL Annex-V",Garbage disposal,0,14,DISPOSAL,MARPOL Annex-V,28,40,DOCUMENTS,COMPLY_WITH
26,"Terminal operators report violations",Terminal operators,0,15,SUBJECT REGULATED,violations,23,33,DOCUMENTS,GENERATES
27,"Bilge compartments accumulate wastewater",Bilge compartments,0,15,EQUIPMENT,wastewater,26,35,POLLUTANT,HAVE
28,"Authority enforces sewage regulations",Authority,0,9,AUTHORITIES,sewage regulations,20,36,PROCEDURES,IMPLEMENT
29,"Plastic waste requires separate handling",Plastic waste,0,11,POLLUTANT,separate handling,24,38,PROCEDURES,REQUIRED
30,"MARPOL Annex-II lists toxic substances",MARPOL Annex-II,0,12,DOCUMENTS,toxic substances,23,37,POLLUTANT,REGULATES
31,"Port fees cover facility maintenance",Port fees,0,8,PENALTIES,facility maintenance,18,34,PROCEDURES,IMPLEMENT
