Entity1_True,Entity1_Pred,Entity2_True,Entity2_Pred,Relation_True,Relation_Pred
SUBJECT_REGULATED,SUBJECT_REGULATED,PROCEDURES,PROCEDURES,IMPLEMENT,IMPLEMENT
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,RELATED_TO,RELATED_TO
DOCUMENTS,DOCUMENTS,PROCEDURES,PROCEDURES,REGULATES,REGULATES
AUTHORITIES,AUTHORITIES,ACTIVITIES,ACTIVITIES,MONITORS,MONITORS
DOCUMENTS,DOCUMENTS,ACTIVITIES,ACTIVITIES,INVOLVE_IN,INCLUDE
DISPOSAL,DISPOSAL,SPECIFICATION,SPECIFICATION,RESTRICT,RESTRICT
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,MONITORS,MONITORS
PENALTIES,PENALTIES,ACTIVITIES,ACTIVITIES,ESTABLISHED,ESTABLISHED
SYSTEM,SYSTEM,SPECIFICATION,SPECIFICATION,COMPLY_WITH,COMPLY_WITH
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,RESTRICT,RESTRICT
SYSTEM,SYSTEM,SPECIFICATION,ACTIVITIES,PREVENT,RESTRICT
SYSTEM,SYSTEM,SPECIFICATION,SPECIFICATION,HAVE,HAVE
SYSTEM,SYSTEM,DOCUMENTS,DOCUMENTS,RESTRICT,RESTRICT
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,EXTABLISHED,GENERATES
DOCUMENTS,DOCUMENTS,DOCUMENTS,DOCUMENTS,REQUIRED,REQUIRED
DOCUMENTS,DOCUMENTS,PROCEDURES,PROCEDURES,REQUIRED,REQUIRED
SUBJECT_REGULATED,SUBJECT_REGULATED,DOCUMENTS,DOCUMENTS,VERIFY,VERIFY
ACTIVITIES,ACTIVITIES,DOCUMENTS,DOCUMENTS,OF,OF
PROCEDURES,PROCEDURES,EQUIPMENT,EQUIPMENT,REQUIRED,REQUIRED
PROCEDURES,PROCEDURES,SYSTEM,SYSTEM,APPLY_TO,APPLY_TO
SYSTEM,SYSTEM,SPECIFICATION,SPECIFICATION,HAVE,HAVE
POLLUTANT,POLLUTANT,CLASSIFICATION,CLASSIFICATION,REGULATES,REGULATES
ACTIVITIES,ACTIVITIES,POLLUTANT,POLLUTANT,OF,OF
DOCUMENTS,DOCUMENTS,SYSTEM,SYSTEM,APPLY_TO,APPLY_TO
DOCUMENTS,DOCUMENTS,SYSTEM,SYSTEM,OF,OF
POLLUTANT,POLLUTANT,PENALTIES,PENALTIES,RESTRICT,RESTRICT
DOCUMENTS,DOCUMENTS,POLLUTANT,POLLUTANT,REGULATES,REGULATES
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,RELATED_TO,RELATED_TO
ACTIVITIES,ACTIVITIES,ACTIVITIES,ACTIVITIES,REQUIRED,REQUIRED
SYSTEM,SYSTEM,ACTIVITIES,ACTIVITIES,FOLLOW,FOLLOW
SPECIFICATION,SPECIFICATION,ACTIVITIES,ACTIVITIES,RELATED_TO,RELATED_TO
PENALTIES,PENALTIES,AUTHORITIES,AUTHORITIES,APPLY_TO,APPLY_TO
SPECIFICATION,SPECIFICATION,ACTIVITIES,ACTIVITIES,ESTABLISHED,ESTABLISHED
DOCUMENTS,DOCUMENTS,ACTIVITIES,ACTIVITIES,OF,OF
AUTHORITIES,AUTHORITIES,PROCEDURES,PROCEDURES,CONDUCT,CONDUCT
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,FOLLOW,FOLLOW
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,REQUIRED,REQUIRED
AUTHORITIES,AUTHORITIES,PENALTIES,PENALTIES,MANAGES,MANAGES
PROCEDURES,PROCEDURES,SPECIFICATION,PROCEDURES,RELATED_TO,RELATED_TO
