entity1_precision,entity1_recall,entity1_f1,entity1_accuracy,entity2_precision,entity2_recall,entity2_f1,entity2_accuracy,relation_precision,relation_recall,relation_f1,relation_accuracy,accuracy,loss
0.515420916,0.580952381,0.507087697,0.580952381,0.332316808,0.423809524,0.348073431,0.423809524,0.150800628,0.185714286,0.116428733,0.185714286,0.396825397,2.415381273
0.726415997,0.738095238,0.70715796,0.738095238,0.494889935,0.557142857,0.513340031,0.557142857,0.281984442,0.352380952,0.27359943,0.352380952,0.549206349,1.964014305
0.827062129,0.819047619,0.800810252,0.819047619,0.626697723,0.628571429,0.611998671,0.628571429,0.323837934,0.380952381,0.310442959,0.380952381,0.60952381,1.76521273
0.858954529,0.866666667,0.858895179,0.866666667,0.690812527,0.661904762,0.648592064,0.661904762,0.438379945,0.461904762,0.400760821,0.461904762,0.663492063,1.646739324
0.837139419,0.842857143,0.827216749,0.842857143,0.682061474,0.7,0.683049686,0.7,0.502431801,0.49047619,0.453629403,0.49047619,0.677777778,1.575928706
0.876833678,0.866666667,0.862132498,0.866666667,0.717012176,0.704761905,0.697916413,0.704761905,0.572437918,0.59047619,0.554110077,0.59047619,0.720634921,1.48818296
0.887808115,0.871428571,0.867985839,0.871428571,0.729390668,0.733333333,0.722400264,0.733333333,0.62212667,0.661904762,0.624196144,0.661904762,0.755555556,1.444767769
0.882147039,0.871428571,0.864354045,0.871428571,0.733500639,0.742857143,0.732312319,0.742857143,0.612020431,0.657142857,0.622034627,0.657142857,0.757142857,1.407202213
0.890193894,0.876190476,0.872704492,0.876190476,0.741750209,0.738095238,0.730998418,0.738095238,0.635376549,0.680952381,0.643799081,0.680952381,0.765079365,1.385067428
0.872735912,0.861904762,0.855742955,0.861904762,0.74172888,0.742857143,0.735147984,0.742857143,0.657979455,0.695238095,0.663023904,0.695238095,0.766666667,1.383791926
0.890494831,0.885714286,0.88285097,0.885714286,0.768651989,0.771428571,0.763458706,0.771428571,0.671930127,0.719047619,0.6844621,0.719047619,0.792063492,1.370936409
0.87389473,0.871428571,0.870056938,0.871428571,0.75034764,0.747619048,0.743075655,0.747619048,0.677019541,0.719047619,0.688136797,0.719047619,0.779365079,1.353824501
0.888867363,0.885714286,0.882745203,0.885714286,0.74477356,0.752380952,0.742474578,0.752380952,0.685048496,0.723809524,0.695499311,0.723809524,0.787301587,1.344729289
0.872240338,0.866666667,0.864934638,0.866666667,0.748812241,0.752380952,0.742592456,0.752380952,0.691785714,0.723809524,0.698998104,0.723809524,0.780952381,1.334544648
0.869253506,0.857142857,0.855927104,0.857142857,0.754202981,0.757142857,0.749933346,0.757142857,0.701369833,0.752380952,0.721736543,0.752380952,0.788888889,1.337829058
0.868728729,0.866666667,0.863534767,0.866666667,0.750575829,0.752380952,0.745330437,0.752380952,0.704712946,0.747619048,0.719939751,0.747619048,0.788888889,1.323993248
0.871668771,0.866666667,0.863260777,0.866666667,0.742186262,0.742857143,0.735796485,0.742857143,0.701961899,0.738095238,0.711933668,0.738095238,0.782539683,1.330410032
0.894988081,0.885714286,0.882850802,0.885714286,0.754062973,0.761904762,0.753228272,0.761904762,0.709272089,0.733333333,0.713429533,0.733333333,0.793650794,1.324704016
0.89070861,0.880952381,0.878029154,0.880952381,0.749145234,0.757142857,0.745934538,0.757142857,0.714208859,0.742857143,0.721804682,0.742857143,0.793650794,1.328476897
0.873749055,0.871428571,0.868382951,0.871428571,0.766829831,0.771428571,0.76382123,0.771428571,0.720675977,0.761904762,0.735480758,0.761904762,0.801587302,1.316368043
0.893684068,0.89047619,0.887780172,0.89047619,0.779563967,0.785714286,0.777325155,0.785714286,0.735721756,0.771428571,0.747503824,0.771428571,0.815873016,1.307832908
0.876108558,0.871428571,0.867535712,0.871428571,0.758506991,0.766666667,0.757099993,0.766666667,0.722879819,0.752380952,0.731958877,0.752380952,0.796825397,1.315122203
0.873931105,0.871428571,0.867662645,0.871428571,0.773494125,0.776190476,0.768291565,0.776190476,0.740299359,0.766666667,0.746954485,0.766666667,0.804761905,1.305807668
0.884854497,0.880952381,0.879315258,0.880952381,0.774610626,0.780952381,0.773317593,0.780952381,0.736709971,0.761904762,0.743036952,0.761904762,0.807936508,1.309563977
0.878043061,0.876190476,0.872736405,0.876190476,0.777870542,0.785714286,0.776990848,0.785714286,0.730517867,0.742857143,0.728219183,0.742857143,0.801587302,1.310438595
0.881696145,0.876190476,0.874393998,0.876190476,0.766899394,0.771428571,0.762861757,0.771428571,0.723682402,0.752380952,0.73125236,0.752380952,0.8,1.305749414
0.874573673,0.871428571,0.867737369,0.871428571,0.766140553,0.776190476,0.765918803,0.776190476,0.743456499,0.761904762,0.746289705,0.761904762,0.803174603,1.306698812
0.879079743,0.876190476,0.873025481,0.876190476,0.773382719,0.785714286,0.774208199,0.785714286,0.74027928,0.761904762,0.745380704,0.761904762,0.807936508,1.304644505
0.884965891,0.880952381,0.877276183,0.880952381,0.774448567,0.785714286,0.774379607,0.785714286,0.733289862,0.752380952,0.736392244,0.752380952,0.806349206,1.30292241
0.884293267,0.880952381,0.877235612,0.880952381,0.781298261,0.79047619,0.78063207,0.79047619,0.736099749,0.757142857,0.740974892,0.757142857,0.80952381,1.303114081
